alpha,baseline_metric,metric,other_country,ref_country,t
0.4138975979202661,1131446.5844105983,1131446.5844105983,Country: AUS,Country: CAN,0.0
0.4138975979202661,1131446.5844105983,1135263.8453262558,Country: AUS,Country: CAN,0.1111111111111111
0.4138975979202661,1131446.5844105983,1138961.7771199695,Country: AUS,Country: CAN,0.2222222222222222
0.4138975979202661,1131446.5844105983,1142560.8680606992,Country: AUS,Country: CAN,0.3333333333333333
0.4138975979202661,1131446.5844105983,1146079.7064247336,Country: AUS,Country: CAN,0.4444444444444444
0.4138975979202661,1131446.5844105983,1149535.3926966945,Country: AUS,Country: CAN,0.5555555555555556
0.4138975979202661,1131446.5844105983,1152943.8911640632,Country: AUS,Country: CAN,0.6666666666666666
0.4138975979202661,1131446.5844105983,1156320.337007724,Country: AUS,Country: CAN,0.7777777777777777
0.4138975979202661,1131446.5844105983,1159679.3119254736,Country: AUS,Country: CAN,0.8888888888888888
0.4138975979202661,1131446.5844105983,1163035.099227694,Country: AUS,Country: CAN,1.0
0.4281774277110759,1131446.5844105983,1131446.5844105983,Country: AUT,Country: CAN,0.0
0.4281774277110759,1131446.5844105983,1133800.5483242958,Country: AUT,Country: CAN,0.1111111111111111
0.4281774277110759,1131446.5844105983,1136083.853610042,Country: AUT,Country: CAN,0.2222222222222222
0.4281774277110759,1131446.5844105983,1138309.5535120654,Country: AUT,Country: CAN,0.3333333333333333
0.4281774277110759,1131446.5844105983,1140489.5389596971,Country: AUT,Country: CAN,0.4444444444444444
0.4281774277110759,1131446.5844105983,1142634.8093238343,Country: AUT,Country: CAN,0.5555555555555556
0.4281774277110759,1131446.5844105983,1144755.705155193,Country: AUT,Country: CAN,0.6666666666666666
0.4281774277110759,1131446.5844105983,1146862.1138241035,Country: AUT,Country: CAN,0.7777777777777777
0.4281774277110759,1131446.5844105983,1148963.6570214266,Country: AUT,Country: CAN,0.8888888888888888
0.4281774277110759,1131446.5844105983,1151069.8678253824,Country: AUT,Country: CAN,1.0
0.41076447671261634,1131446.5844105983,1131446.5844105985,Country: BEL,Country: CAN,0.0
0.41076447671261634,1131446.5844105983,1135817.2054645387,Country: BEL,Country: CAN,0.1111111111111111
0.41076447671261634,1131446.5844105983,1140112.9556138408,Country: BEL,Country: CAN,0.2222222222222222
0.41076447671261634,1131446.5844105983,1144353.2457158,Country: BEL,Country: CAN,0.3333333333333333
0.41076447671261634,1131446.5844105983,1148556.5298542846,Country: BEL,Country: CAN,0.4444444444444444
0.41076447671261634,1131446.5844105983,1152740.63402065,Country: BEL,Country: CAN,0.5555555555555556
0.41076447671261634,1131446.5844105983,1156923.061918946,Country: BEL,Country: CAN,0.6666666666666666
0.41076447671261634,1131446.5844105983,1161121.2891914174,Country: BEL,Country: CAN,0.7777777777777777
0.41076447671261634,1131446.5844105983,1165353.0566419521,Country: BEL,Country: CAN,0.8888888888888888
0.41076447671261634,1131446.5844105983,1169636.6729696693,Country: BEL,Country: CAN,1.0
0.5870826062054239,1131446.5844105983,1131446.5844105983,Country: BGR,Country: CAN,0.0
0.5870826062054239,1131446.5844105983,1131355.6539734087,Country: BGR,Country: CAN,0.1111111111111111
0.5870826062054239,1131446.5844105983,1131265.7426928997,Country: BGR,Country: CAN,0.2222222222222222
0.5870826062054239,1131446.5844105983,1131176.0757686654,Country: BGR,Country: CAN,0.3333333333333333
0.5870826062054239,1131446.5844105983,1131085.8868015602,Country: BGR,Country: CAN,0.4444444444444444
0.5870826062054239,1131446.5844105983,1130994.3914022222,Country: BGR,Country: CAN,0.5555555555555556
0.5870826062054239,1131446.5844105983,1130900.7594686127,Country: BGR,Country: CAN,0.6666666666666666
0.5870826062054239,1131446.5844105983,1130804.0840063978,Country: BGR,Country: CAN,0.7777777777777777
