base_country,country,f_total,metric,x_total,z_total,delta
BRA,HUN,1602412.8438789893,1663179.5169704133,2945515.8225762825,1282336.3056058697,894.4945034952834
BRA,IDN,1602412.8438789893,1663400.3188866863,2947617.4818752147,1284217.1629885281,673.6925872222055
BRA,IND,1602412.8438789896,1663965.8601032326,2945030.285853377,1281064.4257501436,108.15137067600153
BRA,IRL,1602412.8438789893,1664028.352514085,2942622.359487103,1278594.006973019,45.65895982366055
BRA,ITA,1602412.84387899,1663215.54723165,2940936.6313680937,1277721.0841364427,858.4642422585748
BRA,JPN,1602412.8438789893,1664782.4532603314,2940571.8535492453,1275789.4002889139,-708.4417864228599
BRA,KOR,1602412.8438789896,1664448.3381081403,2942825.716057864,1278377.3779497244,-374.326634231722
BRA,LTU,1602412.8438789898,1663500.4300474252,2947716.9746526303,1284216.5446052046,573.5814264833461
BRA,LUX,1602412.8438789889,1664085.318616782,2940393.6693745735,1276308.3507577907,-11.307142873527482
BRA,LVA,1602412.8438789896,1665430.1015116023,2943632.624268988,1278202.522757387,-1356.0900376937352
BRA,MEX,1602412.8438789893,1663501.5433222773,2944993.5176686766,1281491.9743463986,572.4681516312994
BRA,MLT,1602412.8438789893,1663820.2572064807,2945770.161721674,1281949.9045151935,253.75426742783748
BRA,NLD,1602412.8438789898,1664681.7009475771,2941573.1358518186,1276891.4349042424,-607.689473668579
BRA,POL,1602412.843878989,1663922.3670950222,2942561.2520768913,1278638.8849818695,151.64437888632528
BRA,PRT,1602412.8438789896,1663320.6521353994,2942700.4851597296,1279379.8330243307,753.3593385091517
BRA,ROU,1602412.8438789893,1663815.1310254948,2946095.5155056096,1282280.384480114,258.88044841377996
BRA,RUS,1602412.8438789893,1664279.6685115353,2946123.988313588,1281844.3198020535,-205.6570376267191
BRA,SVK,1602412.84387899,1663447.4311607715,2944183.459366203,1280736.028205431,626.580313137034
BRA,SVN,1602412.8438789893,1663898.3253659357,2943588.925761139,1279690.6003952043,175.68610797286965
BRA,SWE,1602412.8438789893,1664348.9748155356,2942696.500361134,1278347.5255455982,-274.96334162703715
BRA,TUR,1602412.8438789898,1663751.3252063622,2944723.8362120315,1280972.5110056687,322.6862675463781
BRA,TWN,1602412.8438789893,1663584.5314217135,2944440.477998934,1280855.9465772205,489.48005219502375
BRA,USA,1602412.8438789889,1664979.8373430904,2940603.677312317,1275623.8399692262,-905.8258691818919
CAN,AUS,1186742.0599147973,1132910.7320026555,2084320.84632664,951410.114323985,-1464.1475920572411
CAN,AUT,1186742.0599147968,1132319.2401473045,2083834.2573720312,951515.0172247268,-872.6557367062196
CAN,BEL,1186742.0599147978,1133128.0726480542,2084460.850816572,951332.7781685182,-1681.488237455953
CAN,BGR,1186742.0599147968,1131422.1102951965,2084465.4316601248,953043.3213649283,24.474115401739255
CAN,BRA,1186742.0599147975,1131249.6278756845,2084571.1237178715,953321.4958421873,196.95653491374105
CAN,CHN,1186742.0599147968,1130894.6834156075,2084700.8074482493,953806.1240326419,551.9009949907195
CAN,CYP,1186742.0599147978,1132742.1096929954,2084874.708618792,952132.5989257969,-1295.5252823971678
CAN,CZE,1186742.059914797,1131427.1640559544,2083604.8878845102,952177.7238285557,19.420354643836617
CAN,DEU,1186742.059914797,1131855.4140909694,2082984.525931662,951129.1118406922,-408.8296803710982
CAN,DNK,1186742.0599147975,1133302.0256974176,2084403.0253408963,951100.9996434792,-1855.4412868192885
CAN,ESP,1186742.0599147975,1131689.8416258746,2084517.4601147694,952827.618488895,-243.2572152763605
